case_id	milestone	coverage_id	route	label	category	expected_path	block_id	cable_id	anchor	face_parts	facades	fallback_reason	expected_connections	expected_triangles	block_state	drive_inventory	drive_models	drive_led	support_floor	air_gap	glass_base_selection	glass_faces	painted_color_ordinal	crafting_faces	static_policy	paint_dots_sha256	pylon_axis_position	expected_stock_triangles	native_part_group	installed_face	plane_mask	p2p_frequency_unsigned	facade_mask	native_endpoints	expected_geometry_signature	expected_nonlighting_attribute_signature	effective_overlay_path	effective_overlay_connections	effective_overlay_triangles	effective_overlay_material_triangles	effective_overlay_geometry_signature	effective_overlay_nonlighting_attribute_signature
ae2-m1-01	M1	-	ae2:cable_bus	stone-control	control	stock-control	minecraft:stone	-	210 100 226	none	none	-	none	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-02	M1	-	ae2:cable_bus	glass-to-energy-acceptor-fallback	device-endpoint-fallback	stock-fallback-device-endpoint	ae2:cable_bus	ae2:fluix_glass_cable	216 100 226	none	none	-	none	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	custom-s1	[{"block_entity_id":"ae2:energy_acceptor","block_id":"ae2:energy_acceptor","collar":false,"declared_family":"covered","direction":"east","effective_family":"glass","exposed_on_observed_side":true,"formation":null,"local_family":"glass","observed_endpoint_side":"west","required_block_state":{},"side_rule":"ALL","topology":"native-grid-node-host"}]	22	{"ae2:part/cable/core/glass/transparent":12,"ae2:part/cable/glass/transparent":10}	062859cadfccf60041f253f6fa88d6d5d3e63bde82caac0640ab533541cf4a1c	e3dc3d6652c24c2ac9f652dbe8f4fef96af57bc5b34aef095450b2e789d794f1
ae2-m1-03	M1	-	ae2:cable_bus	dense-smart-to-controller-fallback	device-endpoint-fallback	stock-fallback-device-endpoint	ae2:cable_bus	ae2:fluix_smart_dense_cable	222 100 226	none	none	-	none	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	custom-s1	[{"block_entity_id":"ae2:controller","block_id":"ae2:controller","collar":false,"declared_family":"dense_smart","direction":"east","effective_family":"dense_smart","exposed_on_observed_side":true,"formation":null,"local_family":"dense_smart","observed_endpoint_side":"west","required_block_state":{"state":"offline","type":"block"},"side_rule":"ALL","topology":"native-grid-node-host"}]	42	{"ae2:part/cable/core/dense_smart/transparent":12,"ae2:part/cable/dense_smart/channels_00":10,"ae2:part/cable/dense_smart/channels_10":10,"ae2:part/cable/dense_smart/transparent":10}	d3056df18640f0c5f7d295bb15d1455d01e3fa98a6fb2bad1b8ed9aff889968d	6659a960734308ecc9929e980584b2d8d1bd82cefd1a6cfa030773d952f7f14a
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:white_glass_cable	210 100 194	none	none	-	east:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:white_glass_cable	211 100 194	none	none	-	west:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:light_gray_glass_cable	213 100 194	none	none	-	east:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:light_gray_glass_cable	214 100 194	none	none	-	west:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:gray_glass_cable	216 100 194	none	none	-	east:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:gray_glass_cable	217 100 194	none	none	-	west:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ae2-m1-04	M1	-	ae2:cable_bus	all-colors-glass-dominoes	color-family-catalog	custom-m1	ae2:cable_bus	ae2:black_glass_cable	219 100 194	none	none	-	east:glass	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
